type,quote
"positive","जिंदगी में कुछ नेक काम ऐसे भी करने चाहिए जिनका, उस ऊपर वालें के सिवा कोई दुसरा गवाह ना हो।"
"positive","जब कोई विचार अनन्य रुप से मस्तिष्क पर अधिकार कर लेता है तब वह वास्तविक, भौतिक या मानसिक अवस्था में परिवर्तित हो जाता है!"
"positive","जीवन मिलना भाग्य की बात है, मृत्यु होना समय की बात है, पर मृत्यु के बाद भी लोगों के दिलों में जीवित रहना ये कर्मों की बात है।"
"positive","सब्र कोई कमज़ोरी नही होती है ये वो ताकत होती है जो सब में नहीं होती..!!"
"positive","दुआएं कभी खाली नहीं जाती हैं बस सही वक्त पर कबूल होती है।"
"positive","मनुष्य अपने विश्वास से निर्मित होता हैं, जैसा वो विश्वास करता हैं वैसा वो बन जाता हैं.."
"positive","सब कुछ काॅपी हो सकता है लेकिन चरित्र और व्यवहार नहीं..!"
"positive","अपनी सोच को काबू में रखिए क्योकि आपकी सोच ही असलियत का रुप लेगी।"
"positive","अगर नियत अच्छी हो तो नसीब कभी बुरा नहीं होता..!"
"positive","वक्त बनाने वाले को जरा सा वक्त देकर देखो, वो आपका वक्त बदल देगा…"
"positive","कर्म का कोई Menu नही होता, जो आप Serve करेंगे, वहीं आप Deserve करेंगे!!"
"positive","दिमाग में विचारों का ट्रैफिक जितना कम होगा..जिंदगी का सफर उतना ही आसान होगा!!\"
"positive","मन का झुकना भी बहुत जरुरी है, सिर्फ सर झुकाने से भगवान नहीं मिलते.."
"positive","मंजर बुरा हो सकता है, मजिंल नहीं.. दौर बुरा हो सकता है, लेकिन जिंदगी नहीं.."
"positive","जितने का मज़ा तब आता है…जब सभी आपके हारने का इंतजार कर रहे हो..!"
"positive","अगर आप उन बातों और परिस्थितियों की वजह से चिंतित हो जाते हैं, जो आपके नियंत्रण में नहीं; तो इसका परिणाम समय की बर्बादी और भविष्य का पछतावा हैं…"
"positive","आप दुःख पर ध्यान देंगे तो हमेशा दुःखी रहेंगे, आप सुख पर ध्यान देंगे तो हमेशा सुखी रहेंगे;क्योंकि आप जीस पर ध्यान देते है वहीं चीज सक्रिय हो जाती है।"
"positive","बुरा वक्त भी गुज़र ही जाता है, बस “रब” को हमारा “सबर” आजमाना होता है..!"
"positive","चेहरे पर हमेशा मुस्कान का ये मतलब नहीं की जीवन में संघर्ष नहीं है..बस उपर वाले पर भरोसा ज्यादा है!!"
"positive","ज़िन्दगी में अगर कुछ बड़ा करना हैं तब दो चीजें हमेशा याद रखना; पहला जो खोया हैं उसका ग़म नहीं और जो पाया हैं वो भी किसी से काम नहीं..!!"
"positive","ख़राब तबियत से व्यक्ति जितना कमजोर नहीं होता उससे ज्यादा वह नकारात्मक विचारों से थकता है.."
"positive","ज़िंदगी में हम कितने सही और कितने गलत हैं, ये सिर्फ दो ही शख़्स जानते हैं, परमात्मा और अंतरआत्मा।"
"positive","नकारात्मक विचारों को अपने मन में प्रवेश करने की अनुमति ना दें क्योंकी ये वो झंखाड़ होती हैं जो आत्म-विश्वास कम कर देती है.."
"positive","कामयाबी कुछ नहीं बस एक नाकामयाब व्यक्ति के संघर्ष की कहानी होती है.."
"positive","आपके ख़िलाफ होने वाली बातों को खामोशी से सुन लिजिए..यकिन मानिए, वक्त उसे बेहतर जवाब देगा..!"
"positive","दिल और दिमाग के टकराव में हमेशा दिल की सुनो.."
"positive","जिसने अपने को वश में कर लिया है, उसकी जीत को देवता भी हार में नही बदल सकते।"
"positive","सबको गिला है बहुत कम मिला है,ज़रा सोचिए..जितना आपको मिला है उतना कितनों को मिला है!!"
"positive","जब कोई ‘हाथ’ और ‘साथ’ दोनो छोड़ देता है.. तब कुदरत कोई ना कोई उंगली पकड़ने वाला भेज हो देता है।"
"positive","अगर लोग आपकी अच्छाई को आपकी कमज़ोरी समझते हैं..तो यह उनकी समस्या है आप आईना हो आईना बने रहो फिक्र वो करें जिनकी शक्लें खराब है…"
"positive","एक समय में एक काम करो..और ऐसा करते समय अपनी पूरी आत्मा उसमें ड़ाल दो और बाकि सबकुछ भूल जाओ…"
"positive","पैसा कमाने के लिए इतना वक़्त खर्च ना करो कि पैसा खर्च करने के लिए ज़िन्दगी में वक़्त ही ना मिले"
"positive","ज़िन्दगी पल-पल ढलती है, जैसे रेत मुठ्ठी से फिसलती है..शिकवे कितने भी हो हर पल, फिर भी हँसते रहना क्योंकि ये ज़िंन्दगी जैसी भी है बस एक ही बार मिलती है।"
"positive","यदी आप सच कहते हैं, तो आपको कुछ याद रखने की जरूरत नहीं रहती.."
"positive","अगर किस्मत आज़माते-आज़माते थक गये हो, तो कभी खुद को आज़माईये नतीजे बेहतर होंगे।"
"positive","खुद के बारें में न किसी पीर से पूछो न किसी फ़क़ीर से पूछो… बस कुछ देर आँखें बंद कर अपने ज़मीर से पूछो।"
"positive","ख़ुशी के लिए काम करोगे तो ख़ुशी नहीं मिलेगी, लेकिन ख़ुश होकर काम करोगे तो ख़ुशी जरूर मिलेगी।"
"positive","यह चिंता छोड़िए कि लोग आपके बारें में क्या सोच रहें हैं; वे तो स्वयं इस चिंता में डूबे हैं कि आप उनके बारें में क्या सोच रहे हैं!"
"positive","बिना झुके खाली होना लगभग नामुमकिन है; अगर अंदर से अहंकार खाली करना है, तो झुकना ही एकमात्र उपाय है.."
"positive","जहां तक दिखाई दे रहा हो वहां तक जाईए, जब आप वहां पहुचेंगे, आप और आगे देख पाएंगे.."
"positive","आंसू वो खामोश दुआ है जो सिर्फ खुदा ही सुन सकता है।"
"positive","कितना भी पकडलो फिसलता ज़रूर है, ये वक्त है जनाब बदलता ज़रूर है।"
"positive","आगे चलकर हिसाब होना है इसलिए बे-हिसाब जी लिजीए।"
"positive","हम जो है, उसके जिम्मेदार हम खुद है..और जो हम बनना चाहते है, वो बनने की शक्ति हम अपने अंदर रखते है।"
"positive","जब कोई अपना अगला कदम पहचानने लगता है, तो बड़े परिवर्तन का आरंभ हो जाता है।"
"positive","आप अगर ऐसा सोचते हो, की सब कुछ अच्छा होगा, तो जरूर वही होगा।"
"positive","सकारात्मक व्यक्ति सदा दूसरों में भी अपनी सकारात्मक ऊर्जा का संचार करता हैं.."
"positive","अगर आसमान वाले से आपके रिश्ते मजबूत है तो ज़मीन वाले आपका कुछ नही बिगाड़ सकते…"
"positive","मन अशांत है और उसे नियंत्रित करना कठिन है लेकिन इसे वश में किया जा सकता है।"
"positive","भरोसा रखें…हम जब कहीं किसी का अच्छा कर रहे होते हैं, तब हमारे लिए भी कहीं कुछ अच्छा हो रहा होता है।"
"positive","यूं ही नही होती हात कि लकिरों के आगे ऊँगलियां, रब ने भी किस्मत से पहले मेहनत लिखी है।"
"positive","अगर जीवन में सफलता प्राप्त करनी है तो मेहनत पर विश्वास करें! किस्मत की आजमाईश तो जुए में होती हैं.."
"positive","जीवन में शांति चाहते हैं तो दुसरों की शिकायतें करने से बेहतर है खुद को बदल लें। क्योंकि पुरी दुनिया में कारपेट बिछाने से खुद के पैरों में चप्पल पहन लेना अधिक सरल है।"
"positive","अपने लक्ष्य के लिए जोशीले और जुनूनी बनिए..विश्वास रखिए, परिश्रम का फल सफलता हि है…!"
"positive","समझनी है जिंदगी तो पिछे देखो, जीनी है जिंदगी तो आगे देखो…"
"positive","घायल तो यहां हर परिंदा है. मगर जो फिर से उड़ सका वहीं जिंदा है.."
"positive","तरक्कियों की दौड़ में उसी का जोर चल गया, बना के रास्ता जो भीड़ से निकल गया।"
"positive","ज़िंदगी का सफ़र मानो तो मौज है वरना समस्या तो रोज है।"
"positive","हर छोटा बदलाव बड़ी कामयाबी का हिस्सा होता है"
"positive","जो रातों को कोशिशों में गंवा देते हैं, वहीं सपनों की चिंगारी को और हवा देते हैं.."
"positive","अकेले ही तय करने होते हैं कुछ सफर; ज़िंदगी के हर सफर में हमसफ़र नहीं मिला करते!"
"positive","कोई टूटे तो उसे सजाना सीखो, कोई रूठे तो उसे मनाना सीखो, रिश्ते तो मिलते हैं मुक़द्दर से, बस उन्हें ख़ूबसूरती से निभाना सीखो।"
"positive","जब भी तुम्हारा हौसला आसमान तक जाएगा, याद रखना कोई ना कोई पंख काटने  जरूर आएगा। "
"positive","कभी पीठ पीछे आपकी बात चले तो घबराना मत, क्योंकि बात तो उन्हीं की होती है, जिनमें कोई बात होती है।"
"positive","मिल सके आसानी से, उसकी ख्वाहिश किसे है, ज़िद तो उसकी है, जो मुकदर में लिखा ही नहीं।"
"positive","पत्थर में एक ही कमी है की वह पिघलता नहीं, लेकिन यही उसकी खूबी है वह बदलता भी नहीं।"
"positive","जो व्यक्ति अपनी गलतियों के लिए खुद से लड़ता है, उसे कोई भी हरा नहीं सकता।"
"positive","जीवन ना तो भविष्य में है और ना ही अतीत में है जीवन, जीवन तो केवल वर्तमान में है। "
"positive","हौसला होना चाहिए, बस जिंदगी तो कहीं से भी शुरू हो सकती है।"
"positive","हम बुरे नहीं थे मगर तुमने बुरा कर दिया, पर अब हम बुरे बन गए हैं, ताकि तुम्हें कोई झूठा ना कह दे।"
"positive","मिली थी जिन्दगी किसी के काम आने के लिए, पर वक्त बित रहा है, कागज के टुकड़े कमाने के लिए।"
"positive","जिंदगी का हर एक रिश्ता विश्वास पर टिका होता है, उस विश्वास को कभी टूटने नहीं देना चाहिए l"
"positive","कौन कहता हैं की ज़िन्दगी जीने में बड़ी मुश्किल है, मै तो हर गरीब को बड़ी आसानी से जिंदगी जीते देखा है।"
"positive","एक खूबसूरत सोच, अगर कोई पूछे जिंदगी में क्या खोया और क्या पाया, तो कहना जो कुछ खोया वो मेरी नादानी थी और जो भी पाया वो प्रभू की मेहेरबानी थी, खुबसूरत रिश्ता है मेरा और भगवान के बीच में, ज्यादा मैं मांगता नहीं और कम वो देता नहीं ?।"
"positive","अगर जिंदगी में कुछ भी सीखने को मिले तो कभी भी सीखना मत छोड़ना, क्योंकि जिंदगी हमेशा कुछ न कुछ सिखाती है और वह सिखाना कभी नहीं  छोड़ती l"
"positive","ज़िंदगी में रंग और उमंग होना चाहिए, एक सच्चा हमसफ़र भी संग होना चाहिए, माता पिता, गुरुओं का आशीष बना रहे, ज़िंदगी जीने का नया ढ़ंग होना चाहिए।"
"positive","जिंदगी भी विडियो गेम की तरह हो गई है, एक लेवल क्रॉस करो तो, अगला लेवल और मुश्किल आ जाता है।"
"positive","गीता में स्पष्ट शब्दों में लिखा है, निराश न होना कमजोर तेरा वक्त है,  तू नहीं।"
